1,Levi's Athletic Sneakers,"Step out in style with these levi's sneakers. Designed for both comfort and fashion, they feature cushioned insoles and durable construction for all-day wear.",Clothing.jpg,23,7
2,Ralph Lauren Pink T-shirt,"Add a touch of style to your casual wardrobe with this comfortable ralph t-shirt. Made from soft, breathable fabric that feels great against your skin. Perfect for everyday wear.",Clothing.jpg,23,166
3,Clinique Foundation,Achieve a flawless complexion with this clinique foundation. The buildable coverage blends seamlessly for a natural-looking finish that lasts all day.,Beauty_Personal_Care.jpg,4,47
4,Harper Fantastic Books Book,"High-quality harper book designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Books.jpg,6,160
5,Smart Speaker Samsung,"Fill your space with rich, room-filling sound from this smart speaker. With clear highs and deep bass, it delivers an immersive audio experience for music, movies, and more.",Electronics.jpg,1,105
6,"Laptop Sony Basic 30""","Elevate your productivity with this laptop laptop. Designed for performance with a fast processor, ample storage, and crisp display. Ideal for work, entertainment, and creativity wherever you go.",Electronics.jpg,1,196
7,Nordic Naturals Health & Wellness Deluxe Supplement,"High-quality nordic supplement designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Health_Wellness.jpg,9,30
8,Wayfair Athletic Wall Clock,Keep track of time in style with this wayfair wall clock. The clean design and reliable mechanism make it both a functional timepiece and attractive decor element.,Home_Kitchen.jpg,3,27
9,Centrum Health & Wellness Classic Supplement,"High-quality centrum supplement designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Health_Wellness.jpg,9,156
10,Ralph Lauren Athletic Sneakers,"Step out in style with these ralph sneakers. Designed for both comfort and fashion, they feature cushioned insoles and durable construction for all-day wear.",Clothing.jpg,33,135
11,Adidas Trekking Poles,Navigate any terrain with confidence using these sturdy adidas trekking poles. Adjustable height and comfortable grips reduce strain on your joints during hikes.,Sports_Outdoors.jpg,5,46
12,Drone LG Pro,Explore the world from above with this drone drone. Capture stunning aerial footage with its high-quality camera and enjoy precise control with its intuitive flight features.,Electronics.jpg,1,84
13,Puma Casual Pants,"These versatile puma pants are a wardrobe essential. Combining comfort and style, they transition seamlessly from work to weekend activities.",Clothing.jpg,13,181
14,GNC Health & Wellness Aid,"High-quality gnc aid designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Health_Wellness.jpg,9,123
15,3M Car Automotive,"High-quality 3m automotive designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Automotive.jpg,8,117
16,Playmobil Toys & Games Game Set,"High-quality playmobil set designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Toys_Games.jpg,7,107
17,Neutrogena Perfume Vanilla,Discover your signature scent with this exquisite neutrogena perfume. The carefully crafted fragrance notes evolve throughout the day for a truly personal experience.,Beauty_Personal_Care.jpg,4,26
18,Hasbro Toys & Games Game Set,"High-quality hasbro set designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Toys_Games.jpg,7,154
19,Cartier Bohemian Jewelry Boxes with Cotton,"High-quality cartier cotton designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Jewelry.jpg,40,135
20,Oxford Essential Books Book,"High-quality oxford book designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Books.jpg,6,149
21,Corelle Non-stick Pan 25cm,"Elevate your cooking with this premium corelle non-stick pan. Designed for even heat distribution and easy food release, it makes preparing your favorite dishes a pleasure.",Home_Kitchen.jpg,3,152
22,Cartier Athletic Jewelry with Metal,"High-quality cartier metal designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Jewelry.jpg,10,188
23,Bed Bath & Beyond Cotton Curtains in Blue,Control light and add privacy with these elegant bed curtains. The quality fabric and careful construction enhance your room's decor while serving a practical purpose.,Home_Kitchen.jpg,3,59
24,Centrum Health & Wellness Premium Supplement,"High-quality centrum supplement designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Health_Wellness.jpg,9,63
25,The North Face Pink Swimming Goggles,Enhance your swimming experience with these comfortable the goggles. The watertight seal and anti-fog lenses provide clear vision lap after lap.,Sports_Outdoors.jpg,5,179
26,Random House Professional Books Book,"High-quality random book designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Books.jpg,6,27
27,Shell Car Automotive,"High-quality shell automotive designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Automotive.jpg,8,118
28,Speedo 5lb Dumbbell Set,Build strength effectively with this quality speedo dumbbell set. The comfortable grip and durable construction make them perfect for a variety of exercises.,Sports_Outdoors.jpg,5,157
29,Columbia Running Shoes Pink,"Optimize your performance with these specialized columbia running shoes. Designed with support and cushioning in all the right places for comfortable, injury-free training.",Sports_Outdoors.jpg,5,163
30,Under Armour Cap in Yellow,Top off your casual look with this stylish under cap. Featuring adjustable sizing for a perfect fit and quality construction for lasting wear.,Clothing.jpg,23,132
31,Michelin Car Automotive,"High-quality michelin automotive designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Automotive.jpg,8,125
32,LEGO Deluxe Toys & Games Toy,"High-quality lego toy designed to meet your needs. Featuring superior craftsmanship and materials, this item offers great value and performance. Add it to your cart today!",Toys_Games.jpg,7,38
33,Columbia Yellow Backpack,Carry your gear in comfort with this thoughtfully designed columbia backpack. Multiple compartments and ergonomic straps make it perfect for any activity.,Sports_Outdoors.jpg,5,158
34,Wilson Exercise Bike,Take your fitness to the next level with this wilson exercise bike. The adjustable resistance and comfortable design make it perfect for home workouts of any intensity.,Sports_Outdoors.jpg,5,100
